"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1600000US1208150","Brandon CDP, Florida","127048","12947",
"1600000US1210275","Cape Coral city, Florida","233025","31",
"1600000US1212875","Clearwater city, Florida","116821","42",
"1600000US1214400","Coral Springs city, Florida","140816","40",
"1600000US1216475","Davie town, Florida","112040","51",
"1600000US1216525","Daytona Beach city, Florida","86007","40",
"1600000US1216725","Deerfield Beach city, Florida","90487","68",
"1600000US1217100","Delray Beach city, Florida","70133","35",
"1600000US1217200","Deltona city, Florida","100515","26",
"1600000US1217935","Doral city, Florida","83620","37",
"1600000US1224000","Fort Lauderdale city, Florida","190640","41",
"1600000US1224125","Fort Myers city, Florida","99929","51",
"1600000US1224581","Four Corners CDP, Florida","85069","10998",
"1600000US1225175","Gainesville city, Florida","148716","27",
"1600000US1230000","Hialeah city, Florida","235384","43",
"1600000US1232000","Hollywood city, Florida","159072","29",
"1600000US1232275","Homestead city, Florida","85806","48",
"1600000US1232610","Horizon West CDP, Florida","69149","10482",
"1600000US1235000","Jacksonville city, Florida","1009831","22",
"1600000US1236100","Kendall CDP, Florida","82704","7871",
"1600000US1236950","Kissimmee city, Florida","84767","43",
"1600000US1238250","Lakeland city, Florida","124997","39",
"1600000US1239425","Largo city, Florida","82343","36",
"1600000US1239550","Lauderhill city, Florida","76623","34",
"1600000US1239925","Lehigh Acres CDP, Florida","151444","11220",
"1600000US1243975","Melbourne city, Florida","87572","50",
"1600000US1245000","Miami city, Florida","487006","67",
"1600000US1245025","Miami Beach city, Florida","83264","44",
"1600000US1245060","Miami Gardens city, Florida","116155","64",
"1600000US1245975","Miramar city, Florida","143244","41",
"1600000US1249675","North Port city, Florida","92866","35",
"1600000US1250750","Ocala city, Florida","70245","31",
"1600000US1253000","Orlando city, Florida","334871","86",
"1600000US1254000","Palm Bay city, Florida","142035","50",
"1600000US1254200","Palm Coast city, Florida","106726","19",
"1600000US1255775","Pembroke Pines city, Florida","179331","40",
"1600000US1256825","Pine Hills CDP, Florida","76047","9856",
"1600000US1257425","Plantation city, Florida","100690","32",
"1600000US1257900","Poinciana CDP, Florida","81260","10427",
"1600000US1258050","Pompano Beach city, Florida","118110","36",
"1600000US1258350","Port Charlotte CDP, Florida","68091","6140",
"1600000US1258575","Port Orange city, Florida","66559","26",
"1600000US1258715","Port St. Lucie city, Florida","258578","33",
"1600000US1260950","Riverview CDP, Florida","115462","14977",
"1600000US1262625","St. Cloud city, Florida","71018","67",
"1600000US1263000","St. Petersburg city, Florida","267073","105",
"1600000US1263650","Sanford city, Florida","66920","30",
"1600000US1268350","Spring Hill CDP, Florida","117931","7874",
"1600000US1269700","Sunrise city, Florida","100131","35",
"1600000US1270600","Tallahassee city, Florida","205091","36",
"1600000US1270675","Tamarac city, Florida","75150","30",
"1600000US1271000","Tampa city, Florida","414575","160",
"1600000US1271625","The Villages CDP, Florida","81782","4468",
"1600000US1272145","Town 'n' Country CDP, Florida","86253","10406",
"1600000US1275875","Wesley Chapel CDP, Florida","83673","9303",
"1600000US1276582","Weston city, Florida","70672","28",
"1600000US1276600","West Palm Beach city, Florida","127733","49",
"1600000US1301052","Albany city, Georgia","67418","2581",
"1600000US1301696","Alpharetta city, Georgia","67264","49",
"1600000US1303440","Athens-Clarke County unified government (balance), Georgia","128630","689",
"1600000US1304000","Atlanta city, Georgia","520066","55",
"1600000US1304204","Augusta-Richmond County consolidated government (balance), Georgia","201930","2147",
"1600000US1319000","Columbus city, Georgia","201830","*****",
"1600000US1342425","Johns Creek city, Georgia","81176","44",
"1600000US1348288","Mableton city, Georgia","78314","30",
"1600000US1349008","Macon-Bibb County, Georgia","157056","*****",
"1600000US1367284","Roswell city, Georgia","92229","30",
"1600000US1368516","Sandy Springs city, Georgia","105506","27",
"1600000US1369000","Savannah city, Georgia","148809","32",
"1600000US1372122","South Fulton city, Georgia","112003","25",
"1600000US1380508","Warner Robins city, Georgia","85856","310",
"1600000US1571550","Urban Honolulu CDP, Hawaii","344977","47",
"1600000US1608830","Boise City city, Idaho","237959","34",
"1600000US1612250","Caldwell city, Idaho","73092","31",
"1600000US1639700","Idaho Falls city, Idaho","69528","26",
"1600000US1652120","Meridian city, Idaho","139736","40",
"1600000US1656260","Nampa city, Idaho","117346","32",
"1600000US1702154","Arlington Heights village, Illinois","75472","2253",
"1600000US1703012","Aurora city, Illinois","180791","4403",
"1600000US1706613","Bloomington city, Illinois","79239","35",
"1600000US1707133","Bolingbrook village, Illinois","73856","4164",
"1600000US1712385","Champaign city, Illinois","91951","39",
"1600000US1714000","Chicago city, Illinois","2721326","60",
"1600000US1714351","Cicero town, Illinois","82093","33",
"1600000US1718823","Decatur city, Illinois","66528","2501",
"1600000US1723074","Elgin city, Illinois","115541","5251",
"1600000US1724582","Evanston city, Illinois","75994","50",
"1600000US1738570","Joliet city, Illinois","151937","4397",
"1600000US1751622","Naperville city, Illinois","153337","1731",
"1600000US1757225","Palatine village, Illinois","65890","32",
"1600000US1759000","Peoria city, Illinois","115996","4370",
"1600000US1765000","Rockford city, Illinois","144779","1634",
"1600000US1768003","Schaumburg village, Illinois","78223","3106",
"1600000US1770122","Skokie village, Illinois","65847","28",
"1600000US1772000","Springfield city, Illinois","112170","618",
"1600000US1779293","Waukegan city, Illinois","92114","4146",
"1600000US1805860","Bloomington city, Indiana","77725","3110",
"1600000US1810342","Carmel city, Indiana","103858","791",
"1600000US1822000","Evansville city, Indiana","114812","3588",
"1600000US1823278","Fishers city, Indiana","104730","2249",
"1600000US1825000","Fort Wayne city, Indiana","273425","5352",
"1600000US1827000","Gary city, Indiana","64975","4470",
"1600000US1829898","Greenwood city, Indiana","70959","5191",
"1600000US1831000","Hammond city, Indiana","76035","35",
"1600000US1836003","Indianapolis city (balance), Indiana","890315","6484",
"1600000US1840788","Lafayette city, Indiana","73124","3183",
"1600000US1851876","Muncie city, Indiana","65055","1687",
"1600000US1854180","Noblesville city, Indiana","75408","4053",
"1600000US1871000","South Bend city, Indiana","102944","2936",
"1600000US1901855","Ames city, Iowa","69029","22",
"1600000US1902305","Ankeny city, Iowa","76724","25",
"1600000US1912000","Cedar Rapids city, Iowa","137917","48",
"1600000US1919000","Davenport city, Iowa","100948","43",
"1600000US1921000","Des Moines city, Iowa","213188","360",
"1600000US1938595","Iowa City city, Iowa","76711","25",
"1600000US1973335","Sioux City city, Iowa","87526","3006",
"1600000US1982425","Waterloo city, Iowa","67471","30",
"1600000US1983910","West Des Moines city, Iowa","73744","525",
"1600000US2036000","Kansas City city, Kansas","157450","2231",
"1600000US2038900","Lawrence city, Kansas","97265","27",
"1600000US2052575","Olathe city, Kansas","149027","39",
"1600000US2053775","Overland Park city, Kansas","202909","70",
"1600000US2064500","Shawnee city, Kansas","69721","29",
"1600000US2071000","Topeka city, Kansas","125475","35",
"1600000US2079000","Wichita city, Kansas","400993","40",
